sensor,depth,Unix.Timestamp,UTC_Date_._Time,Mountain.Standard.Time,Battery,Temperature,Sensor,Gain
240115,9,1530938520,           2018-07-07 04:42:00,           2018-07-06 22:42:00,3.06,6.554,40.98292,10
240115,9,1530940320,           2018-07-07 05:12:00,           2018-07-06 23:12:00,3.06,6.554,39.54682,10
240115,9,1530942120,           2018-07-07 05:42:00,           2018-07-06 23:42:00,3.06,6.612,38.64044,10
240115,9,1530943920,           2018-07-07 06:12:00,           2018-07-07 00:12:00,3.06,6.593,42.16177,10
240115,9,1530945720,           2018-07-07 06:42:00,           2018-07-07 00:42:00,3.06,6.602,39.50524,10
240115,9,1530947520,           2018-07-07 07:12:00,           2018-07-07 01:12:00,3.05,6.641,40.58845,10
240115,9,1530949320,           2018-07-07 07:42:00,           2018-07-07 01:42:00,3.06,6.641,44.27579,10
240115,9,1530951120,           2018-07-07 08:12:00,           2018-07-07 02:12:00,3.07,6.544,43.28599,10
240115,9,1530952920,           2018-07-07 08:42:00,           2018-07-07 02:42:00,3.06,6.495,41.53193,10
240115,9,1530954720,           2018-07-07 09:12:00,           2018-07-07 03:12:00,3.06,6.544,40.85339,10
240115,9,1530956520,           2018-07-07 09:42:00,           2018-07-07 03:42:00,3.06,6.612,39.34993,10
240115,9,1530958320,           2018-07-07 10:12:00,           2018-07-07 04:12:00,3.06,6.593,39.80085,10
240115,9,1530960120,           2018-07-07 10:42:00,           2018-07-07 04:42:00,3.06,6.622,38.68445,10
240115,9,1530961920,           2018-07-07 11:12:00,           2018-07-07 05:12:00,3.06,6.593,43.06654,10
240115,9,1530963720,           2018-07-07 11:42:00,           2018-07-07 05:42:00,3.06,6.505,43.0722,10
240115,9,1530965520,           2018-07-07 12:12:00,           2018-07-07 06:12:00,3.06,6.544,41.5619,10
240115,9,1530967320,           2018-07-07 12:42:00,           2018-07-07 06:42:00,3.06,6.544,41.91284,10
240115,9,1530969120,           2018-07-07 13:12:00,           2018-07-07 07:12:00,3.06,6.632,41.59509,10
240115,9,1530970920,           2018-07-07 13:42:00,           2018-07-07 07:42:00,3.05,6.534,44.72678,10
240115,9,1530972720,           2018-07-07 14:12:00,           2018-07-07 08:12:00,3.05,6.524,40.38773,10
240115,9,1530974520,           2018-07-07 14:42:00,           2018-07-07 08:42:00,3.06,6.583,47.00721,10
240115,9,1530976320,           2018-07-07 15:12:00,           2018-07-07 09:12:00,3.06,6.515,41.19629,10
240115,9,1530978120,           2018-07-07 15:42:00,           2018-07-07 09:42:00,3.06,6.583,38.39332,10
240115,9,1530979920,           2018-07-07 16:12:00,           2018-07-07 10:12:00,3.06,6.632,38.14201,10
240115,9,1530981720,           2018-07-07 16:42:00,           2018-07-07 10:42:00,3.06,6.69,37.50322,10
240115,9,1530983520,           2018-07-07 17:12:00,           2018-07-07 11:12:00,3.06,6.563,46.36458,10
240115,9,1530985320,           2018-07-07 17:42:00,           2018-07-07 11:42:00,3.06,6.544,44.84171,10
240115,9,1530987120,           2018-07-07 18:12:00,           2018-07-07 12:12:00,3.06,6.485,45.86092,10
240115,9,1530988920,           2018-07-07 18:42:00,           2018-07-07 12:42:00,3.06,6.563,43.1879,10
240115,9,1530990720,           2018-07-07 19:12:00,           2018-07-07 13:12:00,3.06,6.739,33.68112,10
240115,9,1530992520,           2018-07-07 19:42:00,           2018-07-07 13:42:00,3.06,6.836,35.15285,10
240115,9,1530994320,           2018-07-07 20:12:00,           2018-07-07 14:12:00,3.05,6.651,42.91193,10
240115,9,1530996120,           2018-07-07 20:42:00,           2018-07-07 14:42:00,3.06,6.671,44.03796,10
240115,9,1530997920,           2018-07-07 21:12:00,           2018-07-07 15:12:00,3.06,6.495,49.00798,10
240115,9,1530999720,           2018-07-07 21:42:00,           2018-07-07 15:42:00,3.06,6.456,47.58375,10
240115,9,1531001520,           2018-07-07 22:12:00,           2018-07-07 16:12:00,3.05,6.612,41.47603,10
240115,9,1531003320,           2018-07-07 22:42:00,           2018-07-07 16:42:00,3.06,6.748,38.17862,10
240115,9,1531005120,           2018-07-07 23:12:00,           2018-07-07 17:12:00,3.05,6.612,49.46511,10
240115,9,1531006920,           2018-07-07 23:42:00,           2018-07-07 17:42:00,3.06,6.554,39.11679,10
240115,9,1531008720,           2018-07-08 00:12:00,           2018-07-07 18:12:00,3.06,6.632,40.52613,10
240115,9,1531010520,           2018-07-08 00:42:00,           2018-07-07 18:42:00,3.06,6.661,36.69955,10
240115,9,1531012320,           2018-07-08 01:12:00,           2018-07-07 19:12:00,3.06,6.573,39.56554,10
240115,9,1531014120,           2018-07-08 01:42:00,           2018-07-07 19:42:00,3.05,6.612,37.57344,10
240115,9,1531015920,           2018-07-08 02:12:00,           2018-07-07 20:12:00,3.06,6.651,24.45939,10
240115,9,1531017720,           2018-07-08 02:42:00,           2018-07-07 20:42:00,3.06,6.651,41.59914,10
240115,9,1531019520,           2018-07-08 03:12:00,           2018-07-07 21:12:00,3.06,6.563,32.07517,10
240115,9,1531021320,           2018-07-08 03:42:00,           2018-07-07 21:42:00,3.05,6.593,32.2986,10
240115,9,1531023120,           2018-07-08 04:12:00,           2018-07-07 22:12:00,3.05,6.602,27.93063,10
240115,9,1531024920,           2018-07-08 04:42:00,           2018-07-07 22:42:00,3.06,6.515,39.50336,10
240115,9,1531026720,           2018-07-08 05:12:00,           2018-07-07 23:12:00,3.05,6.671,30.20107,10
240115,9,1531028520,           2018-07-08 05:42:00,           2018-07-07 23:42:00,3.06,6.69,27.94369,10
240115,9,1531030320,           2018-07-08 06:12:00,           2018-07-08 00:12:00,3.05,6.719,33.46167,10
240115,9,1531032120,           2018-07-08 06:42:00,           2018-07-08 00:42:00,3.06,6.593,36.04567,10
240115,9,1531033920,           2018-07-08 07:12:00,           2018-07-08 01:12:00,3.05,6.612,28.44016,10
240115,9,1531035720,           2018-07-08 07:42:00,           2018-07-08 01:42:00,3.06,6.748,24.70084,10
240115,9,1531037520,           2018-07-08 08:12:00,           2018-07-08 02:12:00,3.05,6.524,46.48769,10
240115,9,1531039320,           2018-07-08 08:42:00,           2018-07-08 02:42:00,3.05,6.417,45.43802,10
240115,9,1531041120,           2018-07-08 09:12:00,           2018-07-08 03:12:00,3.05,6.622,27.27793,10
240115,9,1531042920,           2018-07-08 09:42:00,           2018-07-08 03:42:00,3.05,6.651,29.91176,10
240115,9,1531044720,           2018-07-08 10:12:00,           2018-07-08 04:12:00,3.05,6.719,40.27,10
240115,9,1531046520,           2018-07-08 10:42:00,           2018-07-08 04:42:00,3.06,6.593,36.81197,10
240115,9,1531048320,           2018-07-08 11:12:00,           2018-07-08 05:12:00,3.06,6.602,32.69824,10
240115,9,1531050120,           2018-07-08 11:42:00,           2018-07-08 05:42:00,3.05,6.583,32.1159,10
240115,9,1531051920,           2018-07-08 12:12:00,           2018-07-08 06:12:00,3.05,6.593,38.66601,10
240115,9,1531053720,           2018-07-08 12:42:00,           2018-07-08 06:42:00,3.05,6.622,26.91016,10
240115,9,1531055520,           2018-07-08 13:12:00,           2018-07-08 07:12:00,3.05,6.69,32.36183,10
240115,9,1531057320,           2018-07-08 13:42:00,           2018-07-08 07:42:00,3.06,6.544,48.26788,10
240115,9,1531059120,           2018-07-08 14:12:00,           2018-07-08 08:12:00,3.05,6.544,40.19916,10
240115,9,1531060920,           2018-07-08 14:42:00,           2018-07-08 08:42:00,3.05,6.534,45.46589,10
240115,9,1531062720,           2018-07-08 15:12:00,           2018-07-08 09:12:00,3.05,6.622,44.26356,10
240115,9,1531064520,           2018-07-08 15:42:00,           2018-07-08 09:42:00,3.05,6.641,40.40596,10
240115,9,1531066320,           2018-07-08 16:12:00,           2018-07-08 10:12:00,3.05,6.524,47.8134,10
240115,9,1531068120,           2018-07-08 16:42:00,           2018-07-08 10:42:00,3.05,6.632,40.62283,10
240115,9,1531069920,           2018-07-08 17:12:00,           2018-07-08 11:12:00,3.05,6.632,42.81537,10
240115,9,1531071720,           2018-07-08 17:42:00,           2018-07-08 11:42:00,3.05,6.719,41.71812,10
240115,9,1531073520,           2018-07-08 18:12:00,           2018-07-08 12:12:00,3.05,6.68,40.38346,10
240115,9,1531075320,           2018-07-08 18:42:00,           2018-07-08 12:42:00,3.05,6.68,45.44598,10
240115,9,1531077120,           2018-07-08 19:12:00,           2018-07-08 13:12:00,3.05,6.583,44.6975,10
240115,9,1531078920,           2018-07-08 19:42:00,           2018-07-08 13:42:00,3.05,6.632,42.87686,10
240115,9,1531080720,           2018-07-08 20:12:00,           2018-07-08 14:12:00,3.05,6.602,49.2486,10
240115,9,1531082520,           2018-07-08 20:42:00,           2018-07-08 14:42:00,3.05,6.641,46.57062,10
240115,9,1531084320,           2018-07-08 21:12:00,           2018-07-08 15:12:00,3.05,6.622,40.80825,10
240115,9,1531086120,           2018-07-08 21:42:00,           2018-07-08 15:42:00,3.05,6.69,30.27478,10
240115,9,1531087920,           2018-07-08 22:12:00,           2018-07-08 16:12:00,3.06,6.612,41.95811,10
240115,9,1531089720,           2018-07-08 22:42:00,           2018-07-08 16:42:00,3.05,6.7,38.1425,10
240115,9,1531091520,           2018-07-08 23:12:00,           2018-07-08 17:12:00,3.05,6.641,37.34966,10
240115,9,1531093320,           2018-07-08 23:42:00,           2018-07-08 17:42:00,3.05,6.651,37.9867,10
240115,9,1531095120,           2018-07-09 00:12:00,           2018-07-08 18:12:00,3.05,6.466,41.09855,10
240115,9,1531096920,           2018-07-09 00:42:00,           2018-07-08 18:42:00,3.05,6.602,39.99717,10
240115,9,1531098720,           2018-07-09 01:12:00,           2018-07-08 19:12:00,3.05,6.554,39.12091,10
240115,9,1531100520,           2018-07-09 01:42:00,           2018-07-08 19:42:00,3.05,6.563,41.82124,10
240115,9,1531102320,           2018-07-09 02:12:00,           2018-07-08 20:12:00,3.05,6.602,33.67434,10
240115,9,1531104120,           2018-07-09 02:42:00,           2018-07-08 20:42:00,3.05,6.651,34.54914,10
240115,9,1531105920,           2018-07-09 03:12:00,           2018-07-08 21:12:00,3.05,6.641,41.98417,10
