Sensor,depth,Unix.Timestamp,UTC_Date_._Time,Mountain.Standard.Time,Battery,Temperature,PAR,Acceleration.X,Acceleration.Y,Acceleration.Z
695220,9,1530873420,           2018-07-06 10:37:00,           2018-07-06 04:37:00,3.45,6.485,0.21189,1.134,-0.05,0.204
695220,9,1530875220,           2018-07-06 11:07:00,           2018-07-06 05:07:00,3.45,6.515,0.08931,1.151,-0.05,0.195
695220,9,1530877020,           2018-07-06 11:37:00,           2018-07-06 05:37:00,3.45,6.397,0.07763,1.137,-0.056,0.208
695220,9,1530878820,           2018-07-06 12:07:00,           2018-07-06 06:07:00,3.45,6.515,0.52126,1.12,-0.049,0.192
695220,9,1530880620,           2018-07-06 12:37:00,           2018-07-06 06:37:00,3.45,6.348,0.78684,1.129,-0.045,0.176
695220,9,1530882420,           2018-07-06 13:07:00,           2018-07-06 07:07:00,3.45,6.397,3.72584,1.144,-0.042,0.184
695220,9,1530884220,           2018-07-06 13:37:00,           2018-07-06 07:37:00,3.45,6.544,3.90387,1.134,-0.052,0.191
695220,9,1530886020,           2018-07-06 14:07:00,           2018-07-06 08:07:00,3.45,6.515,5.36315,1.131,-0.048,0.214
695220,9,1530887820,           2018-07-06 14:37:00,           2018-07-06 08:37:00,3.45,6.554,6.59771,1.136,-0.056,0.227
695220,9,1530889620,           2018-07-06 15:07:00,           2018-07-06 09:07:00,3.45,6.602,11.90949,1.142,-0.061,0.238
695220,9,1530891420,           2018-07-06 15:37:00,           2018-07-06 09:37:00,3.45,6.495,14.39027,1.134,-0.063,0.231
695220,9,1530893220,           2018-07-06 16:07:00,           2018-07-06 10:07:00,3.45,6.417,18.75353,1.136,-0.064,0.259
695220,9,1530895020,           2018-07-06 16:37:00,           2018-07-06 10:37:00,3.45,6.25,21.17885,1.136,-0.061,0.228
695220,9,1530896820,           2018-07-06 17:07:00,           2018-07-06 11:07:00,3.45,6.602,22.98252,1.136,-0.049,0.207
695220,9,1530898620,           2018-07-06 17:37:00,           2018-07-06 11:37:00,3.45,6.554,26.72121,1.132,-0.044,0.204
695220,9,1530900420,           2018-07-06 18:07:00,           2018-07-06 12:07:00,3.45,6.69,29.69522,1.136,-0.056,0.224
695220,9,1530902220,           2018-07-06 18:37:00,           2018-07-06 12:37:00,3.45,6.534,32.75096,1.136,-0.052,0.214
695220,9,1530904020,           2018-07-06 19:07:00,           2018-07-06 13:07:00,3.45,6.446,8.79247,1.136,-0.063,0.231
695220,9,1530905820,           2018-07-06 19:37:00,           2018-07-06 13:37:00,3.45,6.407,6.9421,1.136,-0.079,0.243
695220,9,1530907620,           2018-07-06 20:07:00,           2018-07-06 14:07:00,3.45,6.456,0.47164,1.134,-0.109,0.271
695220,9,1530909420,           2018-07-06 20:37:00,           2018-07-06 14:37:00,3.45,6.456,5.26684,1.139,-0.109,0.278
695220,9,1530911220,           2018-07-06 21:07:00,           2018-07-06 15:07:00,3.45,6.436,7.05884,1.139,-0.089,0.248
695220,9,1530913020,           2018-07-06 21:37:00,           2018-07-06 15:37:00,3.45,6.583,2.07685,1.134,-0.082,0.28
695220,9,1530914820,           2018-07-06 22:07:00,           2018-07-06 16:07:00,3.45,6.671,8.64654,1.136,-0.079,0.244
695220,9,1530916620,           2018-07-06 22:37:00,           2018-07-06 16:37:00,3.45,6.602,0.13892,1.136,-0.071,0.225
695220,9,1530918420,           2018-07-06 23:07:00,           2018-07-06 17:07:00,3.45,6.289,8.01029,1.136,-0.071,0.236
695220,9,1530920220,           2018-07-06 23:37:00,           2018-07-06 17:37:00,3.45,6.348,1.91341,1.134,-0.073,0.292
695220,9,1530922020,           2018-07-07 00:07:00,           2018-07-06 18:07:00,3.45,6.534,0.45705,1.136,-0.061,0.216
695220,9,1530923820,           2018-07-07 00:37:00,           2018-07-06 18:37:00,3.45,6.7,1.42893,1.158,-0.061,0.102
695220,9,1530925620,           2018-07-07 01:07:00,           2018-07-06 19:07:00,3.45,6.387,1.7704,1.134,-0.072,0.284
695220,9,1530927420,           2018-07-07 01:37:00,           2018-07-06 19:37:00,3.45,6.563,0.49207,1.139,-0.065,0.233
695220,9,1530929220,           2018-07-07 02:07:00,           2018-07-06 20:07:00,3.45,6.612,-0.09164,1.136,-0.061,0.235
695220,9,1530931020,           2018-07-07 02:37:00,           2018-07-06 20:37:00,3.45,6.377,1.54275,1.116,-0.065,0.248
695220,9,1530932820,           2018-07-07 03:07:00,           2018-07-06 21:07:00,3.45,6.358,0.65259,1.139,-0.068,0.243
695220,9,1530934620,           2018-07-07 03:37:00,           2018-07-06 21:37:00,3.45,6.466,-0.56737,1.136,-0.072,0.246
695220,9,1530936420,           2018-07-07 04:07:00,           2018-07-06 22:07:00,3.45,6.554,0.13017,1.136,-0.066,0.227
695220,9,1530938220,           2018-07-07 04:37:00,           2018-07-06 22:37:00,3.45,6.475,0.19438,1.142,-0.064,0.241
695220,9,1530940020,           2018-07-07 05:07:00,           2018-07-06 23:07:00,3.45,6.456,-0.47106,1.135,-0.072,0.271
695220,9,1530941820,           2018-07-07 05:37:00,           2018-07-06 23:37:00,3.45,6.456,0.71096,1.134,-0.065,0.24
695220,9,1530943620,           2018-07-07 06:07:00,           2018-07-07 00:07:00,3.45,6.446,-0.72789,1.136,-0.063,0.236
695220,9,1530945420,           2018-07-07 06:37:00,           2018-07-07 00:37:00,3.45,6.534,-0.06538,1.136,-0.064,0.233
695220,9,1530947220,           2018-07-07 07:07:00,           2018-07-07 01:07:00,3.45,6.554,-0.21714,1.136,-0.064,0.227
695220,9,1530949020,           2018-07-07 07:37:00,           2018-07-07 01:37:00,3.45,6.456,0.14476,1.139,-0.077,0.302
695220,9,1530950820,           2018-07-07 08:07:00,           2018-07-07 02:07:00,3.45,6.426,-0.60531,1.137,-0.068,0.236
695220,9,1530952620,           2018-07-07 08:37:00,           2018-07-07 02:37:00,3.45,6.407,1.0466,1.134,-0.063,0.24
695220,9,1530954420,           2018-07-07 09:07:00,           2018-07-07 03:07:00,3.45,6.446,-0.57029,1.134,-0.074,0.287
695220,9,1530956220,           2018-07-07 09:37:00,           2018-07-07 03:37:00,3.45,6.495,-0.26384,1.135,-0.057,0.23
695220,9,1530958020,           2018-07-07 10:07:00,           2018-07-07 04:07:00,3.45,6.475,-0.76291,1.142,-0.072,0.248
695220,9,1530959820,           2018-07-07 10:37:00,           2018-07-07 04:37:00,3.45,6.524,-1.46045,1.134,-0.057,0.231
695220,9,1530961620,           2018-07-07 11:07:00,           2018-07-07 05:07:00,3.45,6.495,-0.52943,1.144,-0.049,0.208
695220,9,1530963420,           2018-07-07 11:37:00,           2018-07-07 05:37:00,3.45,6.397,-1.10147,1.136,-0.052,0.211
695220,9,1530965220,           2018-07-07 12:07:00,           2018-07-07 06:07:00,3.45,6.417,0.8744,1.139,-0.055,0.209
695220,9,1530967020,           2018-07-07 12:37:00,           2018-07-07 06:37:00,3.45,6.426,-0.0216,1.123,-0.052,0.211
695220,9,1530968820,           2018-07-07 13:07:00,           2018-07-07 07:07:00,3.45,6.505,3.44566,1.127,-0.061,0.248
695220,9,1530970620,           2018-07-07 13:37:00,           2018-07-07 07:37:00,3.45,6.387,4.67437,1.129,-0.04,0.198
695220,9,1530972420,           2018-07-07 14:07:00,           2018-07-07 08:07:00,3.45,6.368,5.11508,1.135,-0.057,0.233
695220,9,1530974220,           2018-07-07 14:37:00,           2018-07-07 08:37:00,3.45,6.446,8.76036,1.127,-0.048,0.207
695220,9,1530976020,           2018-07-07 15:07:00,           2018-07-07 09:07:00,3.45,6.417,11.46587,1.123,-0.041,0.183
695220,9,1530977820,           2018-07-07 15:37:00,           2018-07-07 09:37:00,3.45,6.436,14.32023,1.158,-0.056,0.227
695220,9,1530979620,           2018-07-07 16:07:00,           2018-07-07 10:07:00,3.45,6.515,17.52481,1.11,-0.048,0.176
695220,9,1530981420,           2018-07-07 16:37:00,           2018-07-07 10:37:00,3.45,6.554,22.70526,1.144,-0.05,0.216
695220,9,1530983220,           2018-07-07 17:07:00,           2018-07-07 11:07:00,3.45,6.426,24.8183,1.129,-0.045,0.207
695220,9,1530985020,           2018-07-07 17:37:00,           2018-07-07 11:37:00,3.45,6.446,8.25253,1.129,-0.04,0.216
695220,9,1530986820,           2018-07-07 18:07:00,           2018-07-07 12:07:00,3.45,6.328,23.55456,1.135,-0.042,0.207
695220,9,1530988620,           2018-07-07 18:37:00,           2018-07-07 12:37:00,3.45,6.466,20.53677,1.129,-0.048,0.206
695220,9,1530990420,           2018-07-07 19:07:00,           2018-07-07 13:07:00,3.45,6.573,15.31254,1.139,-0.05,0.214
695220,9,1530992220,           2018-07-07 19:37:00,           2018-07-07 13:37:00,3.45,6.729,18.91988,1.132,-0.058,0.252
