,sensor,deployment,year,Mountain.Standard.Time,Depth,Temperature,Dissolved.Oxygen,Dissolved.Oxygen.Saturation,Battery,Q
233,214424,Summer2018,2018,           2018-07-08 06:37:00,1.5,9.143,7.738503,104.823423,3.45,1.012
234,214424,Summer2018,2018,           2018-07-08 07:07:00,1.5,9.105,7.745502,104.821063,3.45,1.012
235,214424,Summer2018,2018,           2018-07-08 07:37:00,1.5,9.133,7.749502,104.946828,3.45,1.012
236,214424,Summer2018,2018,           2018-07-08 08:07:00,1.5,9.133,7.752502,104.987452,3.45,1.012
237,214424,Summer2018,2018,           2018-07-08 08:37:00,1.5,9.152,7.748502,104.981899,3.45,1.012
238,214424,Summer2018,2018,           2018-07-08 09:07:00,1.5,9.226,7.740503,105.062721,3.45,1.012
239,214424,Summer2018,2018,           2018-07-08 09:37:00,1.5,9.207,7.755502,105.217621,3.45,1.011
240,214424,Summer2018,2018,           2018-07-08 10:07:00,1.5,9.3,7.766502,105.605548,3.45,1.012
241,214424,Summer2018,2018,           2018-07-08 10:37:00,1.5,9.337,7.773501,105.795825,3.45,1.012
242,214424,Summer2018,2018,           2018-07-08 11:07:00,1.5,9.318,7.7985,106.087053,3.45,1.012
243,214424,Summer2018,2018,           2018-07-08 11:37:00,1.5,9.42,7.811499,106.527439,3.45,1.013
244,214424,Summer2018,2018,           2018-07-08 12:07:00,1.5,9.696,7.773503,106.719955,3.45,1.011
245,214424,Summer2018,2018,           2018-07-08 12:37:00,1.5,9.76,7.769503,106.829972,3.45,1.011
246,214424,Summer2018,2018,           2018-07-08 13:07:00,1.5,9.861,7.772504,107.13176,3.45,1.011
247,214424,Summer2018,2018,           2018-07-08 13:37:00,1.5,9.87,7.813501,107.720194,3.45,1.012
248,214424,Summer2018,2018,           2018-07-08 14:07:00,1.5,10.08,7.779504,107.794369,3.45,1.011
249,214424,Summer2018,2018,           2018-07-08 14:37:00,1.5,10.117,7.798503,108.153594,3.45,1.011
250,214424,Summer2018,2018,           2018-07-08 15:07:00,1.5,10.18,7.814502,108.539288,3.45,1.011
251,214424,Summer2018,2018,           2018-07-08 15:37:00,1.5,10.189,7.829501,108.77107,3.45,1.012
252,214424,Summer2018,2018,           2018-07-08 16:07:00,1.5,10.071,7.8475,108.713043,3.45,1.011
253,214424,Summer2018,2018,           2018-07-08 16:37:00,1.5,10.171,7.839501,108.863021,3.45,1.012
254,214424,Summer2018,2018,           2018-07-08 17:07:00,1.5,10.199,7.827502,108.769341,3.45,1.012
255,214424,Summer2018,2018,           2018-07-08 17:37:00,1.5,10.308,7.822502,108.983802,3.45,1.012
256,214424,Summer2018,2018,           2018-07-08 18:07:00,1.5,10.326,7.832502,109.170085,3.45,1.012
257,214424,Summer2018,2018,           2018-07-08 18:37:00,1.5,10.317,7.826502,109.062993,3.45,1.012
258,214424,Summer2018,2018,           2018-07-08 19:07:00,1.5,10.235,7.8535,109.224731,3.45,1.011
259,214424,Summer2018,2018,           2018-07-08 19:37:00,1.5,10.253,7.821502,108.82659,3.45,1.011
260,214424,Summer2018,2018,           2018-07-08 20:07:00,1.5,10.171,7.8435,108.918564,3.45,1.011
261,214424,Summer2018,2018,           2018-07-08 20:37:00,1.5,10.171,7.815502,108.529767,3.45,1.011
262,214424,Summer2018,2018,           2018-07-08 21:07:00,1.5,10.117,7.825501,108.52802,3.45,1.012
263,214424,Summer2018,2018,           2018-07-08 21:37:00,1.5,10.135,7.811502,108.38065,3.45,1.012
264,214424,Summer2018,2018,           2018-07-08 22:07:00,1.5,10.135,7.800503,108.228041,3.45,1.012
265,214424,Summer2018,2018,           2018-07-08 22:37:00,1.5,10.071,7.818502,108.311325,3.45,1.013
266,214424,Summer2018,2018,           2018-07-08 23:07:00,1.5,9.952,7.8305,108.167817,3.45,1.012
267,214424,Summer2018,2018,           2018-07-08 23:37:00,1.5,9.888,7.808502,107.697938,3.45,1.012
268,214424,Summer2018,2018,           2018-07-09 00:07:00,1.5,9.888,7.813501,107.766896,3.45,1.011
269,214424,Summer2018,2018,           2018-07-09 00:37:00,1.5,9.906,7.814501,107.827402,3.45,1.012
270,214424,Summer2018,2018,           2018-07-09 01:07:00,1.5,9.687,7.841499,107.630044,3.45,1.012
271,214424,Summer2018,2018,           2018-07-09 01:37:00,1.5,9.897,7.763504,107.100524,3.45,1.012
272,214424,Summer2018,2018,           2018-07-09 02:07:00,1.5,9.888,7.753505,106.939405,3.45,1.012
273,214424,Summer2018,2018,           2018-07-09 02:37:00,1.5,9.879,7.740506,106.736982,3.45,1.011
274,214424,Summer2018,2018,           2018-07-09 03:07:00,1.5,9.934,7.725507,106.671277,3.45,1.013
275,214424,Summer2018,2018,           2018-07-09 03:37:00,1.5,9.943,7.719507,106.611517,3.45,1.013
276,214424,Summer2018,2018,           2018-07-09 04:07:00,1.5,10.016,7.651512,105.85807,3.45,1.012
277,214424,Summer2018,2018,           2018-07-09 04:37:00,1.5,9.943,7.643512,105.561974,3.45,1.013
278,214424,Summer2018,2018,           2018-07-09 05:07:00,1.5,9.897,7.631513,105.27965,3.45,1.012
279,214424,Summer2018,2018,           2018-07-09 05:37:00,1.5,9.879,7.634513,105.275398,3.45,1.012
