sensor,deployment,year,timestamp,depth,temperature
102495,Summer2018,2018,2018-07-07 07:00:00,0.4,9.277
102495,Summer2018,2018,2018-07-07 07:30:00,0.4,9.107
102495,Summer2018,2018,2018-07-07 08:00:00,0.4,9.057
102495,Summer2018,2018,2018-07-07 08:30:00,0.4,9.185
102495,Summer2018,2018,2018-07-07 09:00:00,0.4,9.199
102495,Summer2018,2018,2018-07-07 09:30:00,0.4,9.211
102495,Summer2018,2018,2018-07-07 10:00:00,0.4,9.321
102495,Summer2018,2018,2018-07-07 10:30:00,0.4,9.362
102495,Summer2018,2018,2018-07-07 11:00:00,0.4,9.439
102495,Summer2018,2018,2018-07-07 11:30:00,0.4,9.489
102495,Summer2018,2018,2018-07-07 12:00:00,0.4,9.508
102495,Summer2018,2018,2018-07-07 12:30:00,0.4,9.618
102495,Summer2018,2018,2018-07-07 13:00:00,0.4,9.674
102495,Summer2018,2018,2018-07-07 13:30:00,0.4,9.72
102495,Summer2018,2018,2018-07-07 14:00:00,0.4,9.769
102495,Summer2018,2018,2018-07-07 14:30:00,0.4,9.781
102495,Summer2018,2018,2018-07-07 15:00:00,0.4,9.838
102495,Summer2018,2018,2018-07-07 15:30:00,0.4,9.882
102495,Summer2018,2018,2018-07-07 16:00:00,0.4,9.879
102495,Summer2018,2018,2018-07-07 16:30:00,0.4,9.833
102495,Summer2018,2018,2018-07-07 17:00:00,0.4,9.779
102495,Summer2018,2018,2018-07-07 17:30:00,0.4,9.741
102495,Summer2018,2018,2018-07-07 18:00:00,0.4,9.718
102495,Summer2018,2018,2018-07-07 18:30:00,0.4,9.682
102495,Summer2018,2018,2018-07-07 19:00:00,0.4,9.687
102495,Summer2018,2018,2018-07-07 19:30:00,0.4,9.739
102495,Summer2018,2018,2018-07-07 20:00:00,0.4,9.736
102495,Summer2018,2018,2018-07-07 20:30:00,0.4,9.731
102495,Summer2018,2018,2018-07-07 21:00:00,0.4,9.726
102495,Summer2018,2018,2018-07-07 21:30:00,0.4,9.703
102495,Summer2018,2018,2018-07-07 22:00:00,0.4,9.765
102495,Summer2018,2018,2018-07-07 22:30:00,0.4,9.802
102495,Summer2018,2018,2018-07-07 23:00:00,0.4,9.743
102495,Summer2018,2018,2018-07-07 23:30:00,0.4,9.664
102495,Summer2018,2018,2018-07-08 00:00:00,0.4,9.62
102495,Summer2018,2018,2018-07-08 00:30:00,0.4,9.562
102495,Summer2018,2018,2018-07-08 01:00:00,0.4,9.462
102495,Summer2018,2018,2018-07-08 01:30:00,0.4,9.401
102495,Summer2018,2018,2018-07-08 02:00:00,0.4,9.393
102495,Summer2018,2018,2018-07-08 02:30:00,0.4,9.418
102495,Summer2018,2018,2018-07-08 03:00:00,0.4,9.404
102495,Summer2018,2018,2018-07-08 03:30:00,0.4,9.362
