"","Sensor","deployment","year","timestamp","depth","Temperature","PAR","Acceleration.X","Acceleration.Y","Acceleration.Z","tilt","Battery","flag_Y","flag_Z","flag_X","flag_T"
"184",695220,"Summer2018",2018,2018-07-07 07:37:00,9,6.387,4.67437,1.129,-0.04,0.198,-1.53538155632957,3.45,"n","n","n","n"
"185",695220,"Summer2018",2018,2018-07-07 08:07:00,9,6.368,5.11508,1.135,-0.057,0.233,-1.52061821846059,3.45,"n","n","n","n"
"186",695220,"Summer2018",2018,2018-07-07 08:37:00,9,6.446,8.76036,1.127,-0.048,0.207,-1.5282311025492,3.45,"n","n","n","n"
"187",695220,"Summer2018",2018,2018-07-07 09:07:00,9,6.417,11.46587,1.123,-0.041,0.183,-1.53430318537979,3.45,"n","n","n","n"
"188",695220,"Summer2018",2018,2018-07-07 09:37:00,9,6.436,14.32023,1.158,-0.056,0.227,-1.5224747318166,3.45,"n","n","o","n"
"189",695220,"Summer2018",2018,2018-07-07 10:07:00,9,6.515,17.52481,1.11,-0.048,0.176,-1.52758000798832,3.45,"n","n","o","n"
"190",695220,"Summer2018",2018,2018-07-07 10:37:00,9,6.554,22.70526,1.144,-0.05,0.216,-1.52711783107348,3.45,"n","n","n","n"
"191",695220,"Summer2018",2018,2018-07-07 11:07:00,9,6.426,24.8183,1.129,-0.045,0.207,-1.53095913241916,3.45,"n","n","n","n"
"192",695220,"Summer2018",2018,2018-07-07 11:37:00,9,6.446,8.25253,1.129,-0.04,0.216,-1.53538155632957,3.45,"n","n","n","n"
"193",695220,"Summer2018",2018,2018-07-07 12:07:00,9,6.328,23.55456,1.135,-0.042,0.207,-1.53380879800995,3.45,"n","n","n","n"
"194",695220,"Summer2018",2018,2018-07-07 12:37:00,9,6.466,20.53677,1.129,-0.048,0.206,-1.52830641515521,3.45,"n","n","n","n"
"195",695220,"Summer2018",2018,2018-07-07 13:07:00,9,6.573,15.31254,1.139,-0.05,0.214,-1.52692633591222,3.45,"n","n","n","n"
"196",695220,"Summer2018",2018,2018-07-07 13:37:00,9,6.729,18.91988,1.132,-0.058,0.252,-1.51960434283623,3.45,"n","n","n","n"
"197",695220,"Summer2018",2018,2018-07-07 14:07:00,9,6.505,5.31354,1.129,-0.077,0.259,-1.50269983126758,3.45,"n","n","n","n"
"198",695220,"Summer2018",2018,2018-07-07 14:37:00,9,6.515,1.91633,1.116,-0.073,0.252,-1.50547719585553,3.45,"n","n","n","n"
"199",695220,"Summer2018",2018,2018-07-07 15:07:00,9,6.348,1.27716,1.139,-0.058,0.22,-1.51991841123403,3.45,"n","n","n","n"
"200",695220,"Summer2018",2018,2018-07-07 15:37:00,9,6.319,6.8487,1.136,-0.063,0.238,-1.51539533020276,3.45,"n","n","n","n"
"201",695220,"Summer2018",2018,2018-07-07 16:07:00,9,6.475,0.32279,1.132,-0.049,0.217,-1.52753711244376,3.45,"n","n","n","n"
"202",695220,"Summer2018",2018,2018-07-07 16:37:00,9,6.651,0.58838,1.136,-0.057,0.227,-1.52066231532203,3.45,"n","n","n","n"
"203",695220,"Summer2018",2018,2018-07-07 17:07:00,9,6.436,0.13309,1.139,-0.048,0.225,-1.52867901796276,3.45,"n","n","n","n"
"204",695220,"Summer2018",2018,2018-07-07 17:37:00,9,6.397,2.21694,1.137,-0.04,0.203,-1.53563053066684,3.45,"n","n","n","n"
"205",695220,"Summer2018",2018,2018-07-07 18:07:00,9,6.524,1.24798,1.137,-0.057,0.263,-1.52070633481105,3.45,"n","n","n","n"
